Gene Name	Young -Dox	Young +Dox	Sen -Dox	Sen +Dox
CA14	1.61	4.86	7.63	3.25
APH1A	1712.73	1793.66	1628.81	1335.39
APH1A	1712.73	1793.66	1628.81	1335.39
C1orf54	42.66	77	43.87	29.27
C1orf51	58.75	37.28	61.67	54.2
MRPS21	416.92	476.58	492.71	375.04
PRPF3	140.04	124.01	150.67	181.01
PRPF3	140.04	124.01	150.67	181.01
RPRD2	251.12	245.58	329.32	339.27
RPRD2	251.12	245.58	329.32	339.27
TARS2	186.73	205.87	200.9	183.18
TARS2	186.73	205.87	200.9	183.18
ECM1	2893.46	1962.24	2001.37	1425.36
MIR4257	1389.99	881.02	1609.1	1141.37
MCL1	1699.86	1967.11	1553.79	2242.63
ENSA	1079.31	988.01	1042.64	1018.89
GOLPH3L	140.85	141.03	190.73	242.8
HORMAD1	3.22	3.24	3.81	0
CTSS	35.41	42.96	40.05	20.59
CTSK	18367.62	7163.28	20182.79	6459.08
ARNT	477.28	452.26	469.83	478.01
SETDB1	57.95	81.86	58.49	52.03
CERS2	1932.46	1829.32	1922.53	2007.42
ANXA9	91.75	74.57	116.34	88.88
FAM63A	221.34	237.48	252.4	201.61
PRUNE	129.58	126.44	137.96	179.93
BNIPL	2.41	2.43	5.09	0
BNIPL	2.41	2.43	5.09	0
CDC42SE1	457.16	496.84	392.9	571.23
CDC42SE1	457.16	496.84	392.9	571.23
MLLT11	24.15	34.04	29.88	168.01
GABPB2	41.85	36.47	49.59	41.19
GABPB2	41.85	36.47	49.59	41.19
SEMA6C	95.78	105.37	76.29	66.12
SEMA6C	95.78	105.37	76.29	66.12
LYSMD1	312.28	352.57	305.8	319.76
LYSMD1	312.28	352.57	305.8	319.76
LYSMD1	312.28	352.57	305.8	319.76
LYSMD1	312.28	352.57	305.8	319.76
LYSMD1	312.28	352.57	305.8	319.76
VPS72	532.01	574.65	436.13	471.51
PIP5K1A	524.77	612.75	563.92	705.63
PSMD4	657.57	756.21	706.96	688.29
ZNF687	491.77	493.6	412.61	384.79
PI4KB	1117.14	1307.35	1066.17	1077.42
PI4KB	1117.14	1307.35	1066.17	1077.42
RFX5	207.65	244.77	231.42	246.05
SELENBP1	365.4	474.96	327.42	18.43
PSMB4	1241.89	1389.21	1268.34	1269.27
POGZ	297.8	251.26	312.79	275.32
CGN	1.61	0.81	5.72	2.17
MIR554	280.89	282.06	317.88	557.14
SNX27	238.24	252.88	263.84	231.96
SNX27	238.24	252.88	263.84	231.96
CELF3	0	0.81	6.36	1.08
CELF3	0	0.81	6.36	1.08
OAZ3	103.83	102.93	87.73	86.71
OAZ3	103.83	102.93	87.73	86.71
TDRKH	19.32	12.16	25.43	34.69
TDRKH	19.32	12.16	25.43	34.69
TDRKH	17.71	12.16	23.52	34.69
TDRKH	17.71	12.16	23.52	34.69
TDRKH	17.71	12.16	23.52	34.69
LINGO4	0	0	1.91	0
RORC	0	0.81	14.62	0
THEM5	24.15	9.73	12.72	54.2
THEM4	49.9	57.55	96.64	78.04
THEM4	49.9	57.55	96.64	78.04
S100A10	1860.02	1614.54	1151.36	595.07
S100A11	4838.79	5321	4872.45	5014.22
S100A11	4838.79	5321	4872.45	5014.22
TCHHL1	0	0	0	0
TCHH	1.61	0	0.64	14.09
RPTN	0	0	0	0
HRNR	1.61	1.62	0.64	0
FLG	12.07	13.78	17.17	14.09
FLG	12.07	13.78	17.17	14.09
FLG2	0	0	0.64	0
CRNN	0	0	0	0
LCE5A	0	0	0	0
CRCT1	0	0	0	0
LCE3E	0	0	0	0
LCE3D	0	0	0	0
LCE2D	0	0	0	0
LCE2C	0	0	0	0
LCE2B	0	0	0	0
LCE2A	8.05	1.62	17.8	6.5
KPRP	1.61	0.81	0.64	2.17
LCE1E	0	0	0	0
LCE1D	0	0	0	0
LCE1C	0	0	0	0
LCE1B	0	0	0.64	0
LCE6A	0	0	0	0
SMCP	0.8	0	0	0
IVL	0.8	0	1.27	5.42
SPRR4	0	0.81	0	0
SPRR1A	0	0	0	0
SPRR3	0	0	0	0
SPRR1B	0	0	0	0
SPRR2D	0	0	0	0
SPRR2B	0	0	0	0
SPRR2E	0	0	0	0
SPRR2F	0	0	0	0
SPRR2C	0	0	0	0
SPRR2G	0	0	0.64	0
LELP1	0	0	0	0
LOR	0	0.81	0	0
PGLYRP3	0	0	0	0
PGLYRP4	6.44	5.67	2.54	3.25
S100A9	0	0	0	0
S100A12	0	0	0	0
S100A8	0	0	0	0
S100A7A	0	0	0	0
S100A7L2	0	0	0	0
S100A7	0	0	0	0
S100A6	18215.5	16430.65	16642.25	11904.7
S100A5	7.24	11.35	5.09	2.17
S100A4	5472.22	5512.28	5749.16	4513.44
S100A3	183.51	218.03	165.3	59.62
S100A3	183.51	218.03	165.3	59.62
S100A2	36.22	25.94	29.24	47.69
S100A16	1841.51	2105.7	1431.09	2149.41
S100A14	0.8	0	1.27	0
S100A13	1324.79	1419.2	1288.05	1671.41
S100A13	1364.23	1449.19	1321.11	1718.01
S100A13	559.37	540.61	460.92	463.92
S100A13	559.37	540.61	460.92	463.92
S100A13	559.37	540.61	460.92	463.92
ILF2	628.59	741.62	598.25	776.09
ILF2	628.59	741.62	598.25	776.09
NPR 1.00	1.61	1.62	7.63	0
INTS3	585.13	586	550.57	624.34
INTS3	585.13	586	550.57	624.34
SLC27A3	267.21	267.47	229.51	89.97
SLC27A3	267.21	267.47	229.51	89.97
GATAD2B	427.38	371.21	440.58	428.15
DENND4B	556.16	510.62	504.79	344.69
DENND4B	556.16	510.62	504.79	344.69
CRTC2	604.45	566.55	449.48	393.46
CRTC2	604.45	566.55	449.48	393.46
SLC39A1	1877.73	2346.43	1981.66	1515.32
CREB3L4	80.49	95.64	96.64	49.86
CREB3L4	80.49	95.64	96.64	49.86
RAB13	866.83	1010.71	758.46	717.56
RPS27	1346.52	1190.64	926.3	588.57
NUP210L	91.75	76.19	93.46	70.45
NUP210L	91.75	76.19	93.46	70.45
TPM3	1365.84	1548.07	1260.07	2124.48
TPM3	1365.84	1548.07	1260.07	2124.48
C1orf189	1.61	0	1.91	0
UBAP2L	1722.39	1608.86	1645.34	1685.5
UBAP2L	1722.39	1608.86	1645.34	1685.5
HAX1	621.35	700.28	622.41	920.25
AQP10	0.8	0	0	0
ATP8B2	3092.26	2603.36	2566.56	1925.04
IL6R	452.33	376.89	399.89	375.04
SHE	3.22	0	2.54	9.76
SHE	3.22	0	2.54	9.76
TDRD10	4.83	3.24	3.81	2.17
UBE2Q1	851.54	811.32	795.33	888.81
CHRNB2	0	0.81	6.99	1.08
ADAR	1584.76	1761.24	1673.32	1919.62
KCNN3	0.8	4.05	8.9	0
PMVK	405.65	315.29	371.28	330.6
PBXIP1	2511.96	2423.42	2471.83	2644.77
PYGO2	575.47	624.9	509.88	523.53
SHC1	3883.43	4514.54	3512.57	4144.91
MIR4258	83.71	101.31	68.66	50.94
FLAD1	130.39	163.72	139.23	179.93
LENEP	0	0	0	0
ZBTB7B	892.59	761.07	768.63	757.66
DCST2	4.02	4.86	6.36	3.25
ADAM15	1070.46	1106.35	1044.55	575.56
ADAM15	1070.46	1106.35	1044.55	575.56
ADAM15	1070.46	1106.35	1044.55	575.56
LOC100505666	83.71	83.48	92.82	88.88
EFNA3	20.93	27.56	25.43	20.59
EFNA1	4.02	0.81	27.34	0
EFNA1	4.02	0.81	27.34	0
SLC50A1	222.14	185.61	246.04	228.71
DPM3	293.77	341.22	343.31	225.46
KRTCAP2	533.62	587.62	580.45	512.69
TRIM46	120.73	94.83	97.91	73.71
TRIM46	120.73	94.83	97.91	73.71
MUC1	1370.67	985.58	1241.64	622.17
THBS3	727.59	470.1	595.71	434.65
GBAP1	719.54	491.17	757.19	665.53
GBAP1	719.54	491.17	757.19	665.53
FAM189B	948.93	931.28	869.72	655.77
SCAMP3	854.76	829.15	928.84	1116.44
CLK2	246.29	252.88	221.24	165.84
PKLR	2.41	6.48	7.63	7.59
PKLR	2.41	6.48	7.63	7.59
FDPS	1711.12	936.95	1535.36	1130.53
FDPS	1711.12	936.95	1535.36	1130.53
RUSC1	265.6	321.77	252.4	252.55
RUSC1	265.6	321.77	252.4	252.55
POU5F1P4	70.83	73.76	179.92	132.24
POU5F1P4	70.83	73.76	179.92	132.24
POU5F1P4	70.83	73.76	179.92	132.24
MSTO2P	160.97	173.45	158.94	226.54
MSTO2P	160.97	173.45	158.94	226.54
YY1AP1	429.79	479.82	468.55	388.04
YY1AP1	429.79	479.82	468.55	388.04
YY1AP1	432.21	479.82	469.19	388.04
YY1AP1	429.79	479.82	468.55	388.04
YY1AP1	428.18	478.2	465.38	386.96
YY1AP1	429.79	479.82	468.55	388.04
YY1AP1	429.79	479.82	467.92	386.96
YY1AP1	432.21	479.82	469.19	388.04
YY1AP1	391.16	449.02	409.43	363.11
YY1AP1	432.21	479.82	469.19	388.04
YY1AP1	428.18	478.2	465.38	386.96
YY1AP1	432.21	479.82	469.19	388.04
YY1AP1	432.21	479.82	469.19	388.04
DAP3	499.01	538.99	511.79	522.45
GON4L	282.5	265.04	301.35	283.99
GON4L	282.5	265.04	301.35	283.99
GON4L	282.5	265.04	301.35	283.99
GON4L	282.5	265.04	301.35	283.99
SYT11	478.89	493.6	391.63	351.19
RIT1	88.53	99.69	113.8	178.85
SCARNA4	112.68	131.3	146.86	130.07
RXFP4	0	0	0	0
ARHGEF2	1941.31	1791.23	1303.31	1797.14
ARHGEF2	1941.31	1791.23	1303.31	1797.14
SSR2	1965.46	2142.99	1680.95	1577.1
SSR2	1965.46	2142.99	1680.95	1577.1
UBQLN4	380.7	382.56	296.26	388.04
LAMTOR2	333.21	394.72	392.9	368.53
LAMTOR2	333.21	394.72	392.9	368.53
RAB25	0.8	0.81	20.34	0
MEX3A	32.19	25.94	16.53	57.45
LMNA	10137.16	9286.01	7831.27	4699.88
SEMA4A	8.05	12.97	26.7	4.34
SLC25A44	379.89	368.78	400.53	376.12
SLC25A44	379.89	368.78	400.53	376.12
BGLAP	410.48	448.21	506.7	330.6
BGLAP	410.48	448.21	506.7	330.6
PAQR6	5.63	2.43	10.81	4.34
SMG5	1231.43	1407.04	1208.58	1486.05
TMEM79	247.09	208.3	246.04	203.78
TMEM79	247.09	208.3	246.04	203.78
TMEM79	247.09	208.3	246.04	203.78
C1orf85	2014.55	1342.2	2009	1116.44
VHLL	0	0	0.64	1.08
TSACC	1487.37	1790.42	1523.28	1610.71
TSACC	1487.37	1790.42	1523.28	1610.71
RHBG	0.8	0.81	3.18	1.08
MIR9-1	0	0	2.54	0
MIR9-1	0	0	2.54	0
MEF2D	1336.06	1270.88	989.24	1436.19
MEF2D	1336.06	1270.88	989.24	1436.19
IQGAP3	274.46	226.94	156.4	47.69
TTC24	0	0	0	0
APOA1BP	511.08	543.04	537.22	480.18
GPATCH4	136.02	126.44	112.53	151.75
HAPLN2	0.8	0	1.27	0
BCAN	9.66	17.02	17.17	24.93
NES	2880.58	3074.26	1690.48	4051.69
CRABP2	3382.01	6185.81	2704.52	251.47
ISG20L2	320.33	406.07	256.21	315.42
RRNAD1	226.16	269.9	235.23	177.76
MRPL24	391.16	461.18	361.75	379.37
HDGF	4582.05	4764.18	3793.57	3307.04
PRCC	801.64	899.67	692.34	771.75
INSRR	2.41	2.43	15.26	2.17
INSRR	2.41	2.43	15.26	2.17
INSRR	2.41	2.43	15.26	2.17
PEAR1	446.7	760.26	319.15	105.14
PEAR1	446.7	760.26	319.15	105.14
LRRC71	1.61	6.48	3.81	0
MIR765	882.12	943.43	898.96	726.23
MIR765	882.12	943.43	898.96	726.23
ETV3L	3.22	3.24	1.91	3.25
CYCSP52	48.29	54.3	51.5	83.46
FCRL5	0	0	1.91	0
FCRL4	0	0.81	0.64	0
FCRL3	0	0	0.64	0
FCRL3	0	0	0.64	0
FCRL2	0.8	1.62	1.27	2.17
FCRL1	0	0	1.27	0
FCRL1	0	0	1.27	0
CD5L	0	0	0.64	0
KIRREL	1251.55	1146.06	975.25	754.41
KIRREL	1251.55	1146.06	975.25	754.41
KIRREL	1251.55	1146.06	975.25	754.41
LOC646268	0	0	0	0
CD1D	0.8	8.92	3.18	7.59
CD1D	0.8	8.92	3.18	7.59
CD1A	0	0	0	0
CD1C	0	0	0	0
CD1B	0	0	0.64	0
CD1E	0	0	1.91	0
CD1E	0	0	1.91	0
OR10T2	0	0	0	0
OR10K2	0	0	0	0
OR10K1	0	0	0	0
OR10R2	0	0	0	0
OR10R2	0	0	0	0
OR6Y1	0	0	0	0
OR10X1	0	0	0	0
OR10Z1	0	0	0	0
SPTA1	1.61	0.81	1.91	0
OR6K2	0	0	0	0
OR6K3	0	0	0	0
OR6K6	0	0	0	0
OR6N1	0	0	0	0
OR6N2	0	0	0	0
MNDA	0	1.62	3.18	1.08
PYHIN1	1.61	0.81	5.09	1.08
IFI16	106.24	152.38	87.1	119.23
AIM2	0	0	0	1.08
LOC100131825	0	1.62	1.27	1.08
LOC100131825	0	1.62	1.27	1.08
DARC	0	0	0	0
FCER1A	0	0	0	0
OR10J3	0	0	0	0
OR10J1	0	0	0	0
OR10J1	0	0	0	0
OR10J5	0	0	0	0
APCS	0	0	0	0
CRP	0	0	0	0
DUSP23	143.26	164.53	176.11	171.26
FCRL6	0	0	1.27	0
SLAMF8	21.73	19.45	10.17	27.1
SLAMF8	21.73	19.45	10.17	27.1
SLAMF8	21.73	19.45	10.17	27.1
CCDC19	7.24	6.48	5.72	7.59
TAGLN2	4484.66	4743.91	3300.22	4291.24
TAGLN2	4484.66	4743.91	3300.22	4291.24
IGSF9	2.41	0.81	5.09	0
IGSF9	2.41	0.81	5.09	0
SLAMF9	0	0	0	0
SLAMF9	0	0	0	0
LOC100505633	70.83	42.96	53.4	141.99
PIGM	54.73	75.38	78.83	109.48
KCNJ10	0.8	0.81	3.18	5.42
KCNJ9	0	0.81	0	0
IGSF8	515.11	530.07	484.45	604.83
ATP1A2	11.27	6.48	3.81	8.67
ATP1A2	11.27	6.48	3.81	8.67
ATP1A4	0.8	0	1.27	1.08
CASQ1	0.8	3.24	0.64	7.59
PEA15	8589.42	8208.84	8432.7	14404.22
PEA15	8589.42	8208.84	8432.7	14404.22
DCAF8	1053.56	1139.58	1001.96	985.28
PEX19	523.96	587.62	527.68	756.58
SUMO1P3	2404.11	2391.81	2074.48	2722.81
SUMO1P3	2404.11	2391.81	2074.48	2722.81
COPA	1571.88	1726.39	1717.82	1889.27
COPA	1571.88	1726.39	1717.82	1889.27
NHLH1	2.41	2.43	0.64	3.25
VANGL2	19.32	13.78	1.91	1.08
SLAMF6	0	0	0	0
SLAMF6	0	0	0	0
CD84	3.22	0	0.64	0
SLAMF1	0.8	0.81	0.64	0
CD48	0.8	1.62	1.91	1.08
SLAMF7	0	0	0	0
LY9	4.02	0	1.27	0
CD244	7.24	15.4	7.63	13.01
ITLN1	0	0	0	1.08
ITLN2	0	0	1.27	0
F11R	9.66	7.29	36.87	15.17
F11R	9.66	7.29	36.87	15.17
TSTD1	0	0	8.9	1.08
TSTD1	0	0	8.9	1.08
USF1	292.97	346.09	306.44	248.22
ARHGAP30	1.61	5.67	6.99	2.17
ARHGAP30	1.61	5.67	6.99	2.17
PVRL4	0.8	0.81	5.09	4.34
PVRL4	0.8	0.81	5.09	4.34
KLHDC9	5.63	19.45	14.62	18.43
NIT1	318.72	337.17	315.34	314.34
DEDD	349.31	387.42	324.24	324.09
DEDD	349.31	387.42	324.24	324.09
DEDD	349.31	387.42	324.24	324.09
UFC1	582.72	602.21	576.63	636.26
B4GALT3	272.85	277.19	254.94	261.22
B4GALT3	272.85	277.19	254.94	261.22
ADAMTS4	66.8	55.93	41.96	15.17
NDUFS2	529.6	620.85	574.09	599.41
FCER1G	0.8	3.24	2.54	5.42
APOA2	0	0	0	0
MIR5187	117.51	147.51	128.42	185.35
MIR5187	117.51	147.51	128.42	185.35
PCP4L1	0.8	0.81	3.18	1.08
MPZ	8.05	5.67	8.9	3.25
SDHC	544.89	544.66	528.32	616.75
SDHC	544.89	544.66	528.32	616.75
SDHC	544.89	544.66	528.32	616.75
FCGR2A	0	2.43	0.64	0
HSPA6	0.8	5.67	2.54	2.17
FCGR3A	0	0.81	0.64	0
FCGR2C	0	0.81	0	0
FCGR3B	0	0	0	0
FCGR2B	0	0	0	1.08
RPL31P11	119.92	111.85	96.64	79.13
FCRLA	4.02	4.86	1.91	3.25
FCRLB	24.15	38.09	28.61	58.53
DUSP12	66.8	84.29	70.57	71.54
ATF6	187.53	206.68	244.77	499.69
ATF6	187.53	206.68	244.77	499.69
OLFML2B	291.36	213.16	148.13	21.68
MIR4654	22.54	56.74	77.56	30.35
C1orf111	0.8	0.81	0	2.17
C1orf226	9.66	20.26	19.07	6.5
SH2D1B	0	0.81	0.64	2.17
UHMK1	169.02	181.55	153.85	560.39
UHMK1	169.02	181.55	153.85	560.39
UAP1	135.22	204.25	137.96	507.27
DDR2	206.04	203.44	174.2	346.85
DDR2	206.04	203.44	174.2	346.85
DDR2	206.04	203.44	174.2	346.85
HSD17B7	68.41	41.34	54.04	28.18
C1orf110	0	0.81	1.27	0
C1orf110	0	0.81	1.27	0
RGS4	184.31	201.82	134.15	202.69
RGS5	7.24	8.92	24.79	7.59
RGS5	7.24	8.92	24.79	7.59
NUF2	0.8	6.48	7.63	3.25
LOC100505795	739.66	938.57	1419.65	1213.99
LOC100505795	739.66	938.57	1419.65	1213.99
LOC100505795	739.66	938.57	1419.65	1213.99
LMX1A	4.02	0.81	6.99	3.25
RXRG	0	0	1.27	0
LRRC52	0	1.62	0	1.08
LRRC52	0	1.62	0	1.08
LRRC52	0	1.62	0	1.08
LRRC52	0	1.62	0	1.08
MGST3	680.91	640.3	769.27	537.62
ALDH9A1	424.16	544.66	419.6	535.46
LOC440700	0	0	3.18	3.25
TMCO1	331.6	423.9	408.79	709.97
TMCO1	331.6	423.9	408.79	709.97
TMCO1	331.6	423.9	408.79	709.97
TMCO1	331.6	423.9	408.79	709.97
TMCO1	331.6	423.9	408.79	709.97
TMCO1	331.6	423.9	408.79	709.97
MIR3658	611.69	624.9	675.18	911.58
MIR921	4.83	3.24	12.08	2.17
MIR921	4.83	3.24	12.08	2.17
FMO9P	0	0	0.64	2.17
POGK	248.7	307.18	278.46	308.92
TADA1	23.34	39.71	39.42	34.69
ILDR2	0.8	0.81	1.91	4.34
MAEL	0.8	0	0	0
MAEL	0.8	0	0	0
GPA33	0	0	1.27	0
DUSP27	0.8	0	1.27	0
POU2F1	57.14	54.3	144.32	76.96
CD247	3.22	5.67	6.36	3.25
CREG1	191.56	191.28	324.24	375.04
RCSD1	1.61	2.43	1.27	1.08
MPZL1	1303.06	1605.62	1633.9	1977.07
MPZL1	1303.06	1605.62	1633.9	1977.07
ADCY10	14.49	20.26	21.62	28.18
MPC2	210.87	293.4	271.47	356.61
MPC2	210.87	293.4	271.47	356.61
GPR161	313.89	341.22	270.2	249.3
GPR161	313.89	341.22	270.2	249.3
TIPRL	163.39	209.11	159.58	289.41
SFT2D2	37.02	36.47	47.05	47.69
SFT2D2	37.02	36.47	47.05	47.69
ANKRD36BP1	38.63	43.77	29.88	52.03
XCL2	1.61	2.43	1.91	1.08
XCL1	25.76	19.45	14.62	6.5
DPT	55.54	151.57	52.77	163.67
LINC00626	0	0	1.27	0
NME7	24.95	43.77	47.68	69.37
NME7	24.95	43.77	47.68	69.37
CCDC181	2.41	2.43	5.09	2.17
CCDC181	2.41	2.43	5.09	2.17
SLC19A2	35.41	42.15	53.4	56.36
SLC19A2	35.41	42.15	53.4	56.36
F5	3.22	1.62	4.45	2.17
SELP	0	0	3.18	0
SELL	0.8	0.81	1.27	0
SELE	0	0	0	0
METTL18	8.85	4.86	6.36	3.25
C1orf112	21.73	29.18	50.86	16.26
C1orf112	21.73	29.18	50.86	16.26
KIFAP3	86.12	96.45	100.45	110.56
MIR3119-1	0.8	2.43	0	0
LOC284688	0	0	0	1.08
GORAB	12.07	10.54	26.07	16.26
GORAB	12.07	10.54	26.07	16.26
GORAB	12.07	10.54	26.07	16.26
GORAB	2.41	3.24	17.8	5.42
GORAB	12.07	10.54	26.07	16.26
PRRX1	620.54	559.25	502.25	300.25
MROH9	4.02	2.43	18.44	6.5
MIR1295A	15.29	18.64	19.07	2.17
FMO6P	0.8	1.62	0.64	0
FMO2	0.8	0.81	6.99	8.67
FMO1	62.78	53.49	38.15	31.43
TOP1P1	119.92	163.72	165.93	81.29
TOP1P1	119.92	163.72	165.93	81.29
PRRC2C	180.29	209.92	259.39	428.15
PRRC2C	180.29	209.92	259.39	428.15
PRRC2C	180.29	209.92	259.39	428.15
MYOC	1.61	2.43	4.45	3.25
VAMP4	80.49	129.68	106.81	93.22
METTL13	540.06	517.11	551.84	417.31
METTL13	540.06	517.11	551.84	417.31
MIR3120	41.05	41.34	76.93	82.38
MIR3120	41.05	41.34	76.93	82.38
MIR3120	41.05	41.34	76.93	82.38
PIGC	135.22	155.62	153.22	121.4
SUCO	12.88	18.64	38.78	75.87
FASLG	0	0	0	1.08
TNFSF18	12.88	28.37	35.6	31.43
TNFSF4	18.51	21.88	19.71	44.44
LOC100506023	38.63	40.53	57.85	55.28
PRDX6	1995.24	3472.22	2470.56	7034.64
SLC9C2	2.41	4.05	5.09	1.08
LOC730159	2.41	3.24	6.99	4.34
KLHL20	218.12	184.8	158.94	205.94
CENPL	37.83	57.55	29.88	66.12
DARS2	62.78	87.54	91.55	121.4
SNORD44	0.8	0	0	0
ZBTB37	7.24	4.05	9.54	11.92
SERPINC1	1.61	0	0.64	2.17
RC3H1	31.39	41.34	64.85	65.04
GPR52	92.56	99.69	265.11	109.48
GPR52	92.56	99.69	265.11	109.48
GPR52	92.56	99.69	265.11	109.48
GPR52	92.56	99.69	265.11	109.48
CACYBP	122.34	162.1	148.13	153.92
MRPS14	127.17	139.41	138.6	140.91
TNN	2.41	0	3.81	2.17
KIAA0040	58.75	77	55.31	57.45
TNR	6.44	4.86	8.9	4.34
TNR	6.44	4.86	8.9	4.34
TNR	6.44	4.86	8.9	4.34
SCARNA3	96.58	129.68	265.11	156.08
PAPPA2	28.97	19.45	29.24	261.22
PAPPA2	21.73	17.02	26.07	128.99
PAPPA2	21.73	17.02	26.07	128.99
MIR488	11.27	17.83	23.52	13.01
MIR488	11.27	17.83	23.52	13.01
FAM5B	4.83	0.81	10.17	3.25
SEC16B	36.22	38.9	26.7	15.17
SEC16B	36.22	38.9	26.7	15.17
SEC16B	36.22	38.9	26.7	15.17
RASAL2	5.63	7.29	14.62	16.26
RASAL2	5.63	7.29	14.62	16.26
RASAL2	485.33	496.84	417.06	435.74
TEX35	0	0	0	0
TEX35	0	0	0	0
C1orf220	2.41	4.86	5.09	0
ANGPTL1	33.8	48.63	137.96	48.78
ANGPTL1	33.8	48.63	137.96	48.78
FAM20B	247.9	327.45	253.03	538.71
TOR3A	464.4	506.57	454.57	425.98
TOR3A	464.4	506.57	454.57	425.98
ABL2	312.28	275.57	356.66	526.79
SOAT1	202.02	153.19	179.28	160.42
AXDND1	48.29	64.03	42.6	35.77
AXDND1	48.29	64.03	42.6	35.77
AXDND1	48.29	64.03	42.6	35.77
TDRD5	2.41	3.24	19.07	2.17
FAM163A	0	1.62	7.63	0
TOR1AIP2	229.38	299.08	279.73	565.81
TOR1AIP2	229.38	299.08	279.73	565.81
TOR1AIP1	264.8	309.61	282.91	552.8
TOR1AIP1	264.8	309.61	282.91	552.8
CEP350	10.46	21.07	89.64	36.85
FLJ23867	6173.25	5295.06	4486.55	5191.98
FLJ23867	6173.25	5295.06	4486.55	5191.98
FLJ23867	301.02	224.51	167.84	170.18
LOC100527964	20.12	13.78	37.51	24.93
LOC100527964	20.12	13.78	37.51	24.93
MIR3121	471.65	507.38	513.69	405.39
MIR3121	471.65	507.38	513.69	405.39
XPR1	76.46	98.88	109.99	133.32
XPR1	76.46	98.88	109.99	133.32
KIAA1614	202.82	189.66	153.22	102.97
KIAA1614	202.82	189.66	153.22	102.97
STX6	321.14	381.75	324.24	346.85
MR1	236.63	278	272.74	378.29
MR1	236.63	278	272.74	378.29
IER5	1046.31	1245.75	1043.28	965.77
GM140	0	0	0.64	0
CACNA1E	4.02	4.05	6.36	3.25
ZNF648	0	0	0	0
GLUL	2025.02	2562.83	1992.47	651.44
TEDDM1	0	0	0	0
LINC00272	0.8	0	0.64	0
RGSL1	0.8	2.43	6.36	2.17
RGSL1	0.8	2.43	6.36	2.17
RNASEL	94.97	98.88	87.1	66.12
RGS16	10.46	7.29	15.89	18.43
RGS8	0	0.81	0.64	1.08
NPL	7.24	6.48	12.08	5.42
DHX9	339.65	406.88	377	500.77
DHX9	339.65	406.88	377	500.77
SHCBP1L	59.56	54.3	62.94	95.38
LAMC1	5561.56	5785.42	6173.85	8274.65
LAMC2	7.24	9.73	15.89	36.85
NMNAT2	16.9	23.5	27.34	87.8
NMNAT2	16.9	23.5	27.34	87.8
SMG7-AS1	4.83	1.62	2.54	1.08
SMG7	334.82	372.83	371.28	501.86
NCF2	0.8	3.24	6.36	56.36
ARPC5	874.88	1018.81	903.41	2106.06
APOBEC4	470.04	536.56	464.74	396.71
APOBEC4	470.04	536.56	464.74	396.71
COLGALT2	40.24	48.63	28.61	53.11
TSEN15	113.48	120.77	122.7	190.77
C1orf21	274.46	316.1	425.96	34.69
EDEM3	30.58	34.85	55.95	146.33
EDEM3	30.58	34.85	55.95	146.33
FAM129A	328.38	195.33	195.18	694.79
FAM129A	328.38	195.33	195.18	694.79
RNF2	47.49	47.01	67.39	66.12
TRMT1L	20.12	23.5	20.34	47.69
SWT1	181.9	187.23	193.91	138.74
IVNS1ABP	246.29	217.22	268.93	1951.06
IVNS1ABP	246.29	217.22	268.93	1951.06
LOC100288079	0	0	0.64	0
HMCN1	33.8	17.83	22.89	23.85
HMCN1	33.8	17.83	22.89	23.85
HMCN1	33.8	17.83	22.89	23.85
HMCN1	33.8	17.83	22.89	23.85
RNU6-72	4.02	7.29	7.63	6.5
RNU6-72	4.02	7.29	7.63	6.5
OCLM	2.41	8.11	30.52	23.85
OCLM	2.41	8.11	30.52	23.85
PDC	0	0.81	0	1.08
PTGS2	24.15	94.02	37.51	221.12
PTGS2	24.15	94.02	37.51	221.12
PLA2G4A	5.63	4.86	12.72	5.42
PLA2G4A	5.63	4.86	12.72	5.42
FAM5C	1.61	0.81	8.26	8.67
FAM5C	1.61	0.81	8.26	8.67
RGS18	0	0	1.27	0
RGS21	1.61	0	0	0
RGS1	0	0	0	0
RGS13	0	0	1.91	0
RGS2	44.27	118.33	62.94	30.35
UCHL5	9.66	17.83	36.24	19.51
UCHL5	16.1	21.07	31.79	48.78
UCHL5	23.34	38.09	42.6	78.04
GLRX2	74.85	73.76	105.54	107.31
B3GALT2	66.8	70.51	123.97	128.99
B3GALT2	66.8	70.51	123.97	128.99
MIR4735	5.63	5.67	7.63	8.67
MIR4735	5.63	5.67	7.63	8.67
CFH	43.46	85.91	82.65	43.36
CFHR3	1.61	4.05	6.36	3.25
CFHR1	4.02	10.54	6.99	14.09
CFHR4	0	0	0.64	0
CFHR4	0	0	0.64	0
CFHR2	0.8	0	0	0
CFHR5	0	0	0.64	0
F13B	0	0.81	0.64	0
ASPM	4.02	18.64	27.97	7.59
ZBTB41	8.05	10.54	29.88	32.52
CRB1	61.17	36.47	85.83	40.11
DENND1B	206.85	191.28	172.29	164.76
DENND1B	206.85	191.28	172.29	164.76
DENND1B	206.85	191.28	172.29	164.76
C1orf53	30.58	44.58	31.15	53.11
LHX9	26.56	17.02	12.08	2.17
NEK7	123.95	232.62	291.18	1447.03
NEK7	123.95	232.62	291.18	1447.03
ATP6V1G3	0.8	0	0	1.08
PTPRC	0	2.43	2.54	5.42
MIR181A1	1.61	0	13.35	0
MIR181A1	1.61	0	13.35	0
